ValueX Percentile,Returns
0,0.180978407584362
1,0.160160111306746
2,0.166289090340117
3,0.152601806357909
4,0.146637233424018
5,0.140400050002349
6,0.130245991809883
7,0.134162892579495
8,0.123968096461498
9,0.124983997389339
10,0.124911103389087
11,0.118014005392536
12,0.125343474225335
13,0.123501017252483
14,0.12015438773248
15,0.112705495903626
16,0.109655022002023
17,0.105839907287946
18,0.10726289609434
19,0.108891241763816
20,0.111185402651439
21,0.108877282063787
22,0.107266506793732
23,0.103741620871125
24,0.0983666570475671
25,0.109584411271631
26,0.107968038219461
27,0.104994137052535
28,0.101547736636438
29,0.105225861029367
30,0.098538852405639
31,0.0927824640481899
32,0.0967594096296227
33,0.0969398261563586
34,0.089723786190245
35,0.0878600091740812
36,0.0954724980439706
37,0.0881011081163393
38,0.0924189201666006
39,0.0832037501586882
40,0.0814858431650514
41,0.082616117742088
42,0.0864843661387788
43,0.0884985081821129
44,0.0866381625036761
45,0.0885487689808901
46,0.080972766285496
47,0.0832304950297276
48,0.0807142471425818
49,0.0864763612949715
50,0.0843788490981132
51,0.0781603782190855
52,0.0851414909624685
53,0.0871643423070872
54,0.0894307192750666
55,0.0722944510034707
56,0.0753878589344022
57,0.0706993987095647
58,0.0652583255486643
59,0.0750370214028155
60,0.0758695226858171
61,0.0737062612522366
62,0.0758920264278383
63,0.0733738955081484
64,0.0742893274278421
65,0.0782240236888843
66,0.0698286385836591
67,0.0707514129546858
68,0.0808264927997997
69,0.0764410123515854
70,0.0769152456927163
71,0.0758208838575688
72,0.071096413476779
73,0.0792733966647279
74,0.0712280664267291
75,0.0785300623077029
76,0.0738855307859617
77,0.0749828086493774
78,0.0726607822469565
79,0.0704592240782741
80,0.0716142451447533
81,0.0727584365061394
82,0.0618129230957901
83,0.0698357934210721
84,0.0769055873626308
85,0.0683749755905442
86,0.0746496969893772
87,0.0714928628818092
88,0.0861701049532417
89,0.0783887162978995
90,0.0747685335237509
91,0.0613919581610882
92,0.0761488722966719
93,0.0591986142206893
94,0.0660288359401222
95,0.0590745260145526
96,0.0753496840409839
97,0.0826384793704256
98,0.0740697572801359
99,0.102037173424887
